Id,Name,Region,Add,Town,Px,Py
C1_313020000G_000026,宏亞食品巧克力觀光工廠,桃園市,桃園縣八德市建國路386號,八德區,121.297187,24.943325
C1_313020000G_000105,台灣金屬創意館,臺南市,台南市永康區永科環路598號,永康區,120.275724,23.045063
C1_313020000G_000136,臺灣菸酒(股)公司林口觀光酒廠,桃園市,桃園縣龜山鄉文化一路55號,龜山區,121.375231,25.056168
C1_315080500H_000007,水璉、牛山海岸,花蓮縣,花蓮縣974壽豐鄉牛山39之5號,壽豐鄉,121.5694,23.76344
C1_315080500H_000012,石梯坪,花蓮縣,花蓮縣977豐濱鄉石梯坪52號,豐濱鄉,121.51173,23.48525
C1_315080500H_000014,長虹橋,花蓮縣,花蓮縣977豐濱鄉台11線68公里處,豐濱鄉,121.48904,23.46845
C1_315080500H_000015,北回歸線,花蓮縣,花蓮縣977豐濱鄉台11線70.5公里處,豐濱鄉,121.49617,23.45141
C1_315080500H_000016,金樽,臺東縣,臺東縣959東河鄉七里橋11號,東河鄉,121.27975,22.9451
C1_315080500H_000028,加路蘭,臺東縣,臺東縣950臺東市台11線157公里處,臺東市,121.197,22.8065
C1_315080500H_000034,都蘭,臺東縣,臺東縣959東河鄉都蘭61號,東河鄉,121.22765,22.87416
C1_315080500H_000035,成功新港漁港,臺東縣,臺東縣961成功鎮港邊路19號,成功鎮,121.37685,23.1032
C1_315080500H_000042,阿美族民俗中心,臺東縣,臺東縣961成功鎮新村路25號,成功鎮,121.3255,23.01779
C1_315080500H_000068,紫坪,,臺東縣951綠島鄉溫泉路256號,,121.49991,22.63394
C1_315080500H_000073,帆船鼻大草原,,臺東縣951綠島鄉溫泉路167號,,121.5069,22.63366
C1_315080500H_000098,哈巴狗與睡美人岩,,臺東縣951綠島鄉環島公路8公里處,,121.50952,22.65502
C1_315080500H_000101,國家人權博物館-白色恐怖綠島紀念園區,臺東縣,臺東縣951綠島鄉將軍岩20號,綠島鄉,121.49626,22.67518
C1_315080500H_000102,牛頭山、樓門岩,臺東縣,臺東縣951綠島鄉環島公路6公里處,綠島鄉,121.50767,22.67675
C1_315080500H_000162,樟原,臺東縣,臺東縣962長濱鄉樟原路67號,長濱鄉,121.4828,23.41314
C1_315080500H_000163,富山漁業資源保育區,臺東縣,臺東縣954卑南鄉杉原20號,卑南鄉,121.18577,22.83271
C1_315080500H_000167,柴口浮潛區,,臺東縣951綠島鄉環島公路2公里處,,121.48278,22.67792
C1_315080500H_000206,美山驛站,臺東縣,臺東縣961成功鎮美山路139-2號,成功鎮,121.39992,23.15562
C1_315080500H_000207,花蓮遊客中心,花蓮縣,花蓮縣974壽豐鄉鹽寮村大坑5號,壽豐鄉,121.60241,23.90455
C1_315080500H_000209,秀姑巒溪遊客中心,花蓮縣,花蓮縣978瑞穗鄉中山路三段215號,瑞穗鄉,121.4012,23.48888
C1_315080500H_000210,八仙洞遊客中心,臺東縣,臺東縣962長濱鄉三間村水母丁1-4號,長濱鄉,121.47724,23.39642
C1_315080500H_000211,三仙台遊客中心,臺東縣,臺東縣961成功鎮三仙里基翬路87號,成功鎮,121.4071,23.12326
C1_315080500H_000212,小野柳遊客中心,臺東縣,臺東縣950臺東市松江路一段500號,臺東市,121.19607,22.79564
C1_315080500H_000213,綠島遊客中心,臺東縣,臺東縣951綠島鄉南寮村298號,綠島鄉,121.4689,22.66859
C1_315080500H_000214,都歷遊客中心,臺東縣,臺東縣961成功鎮信義里新村路25號,成功鎮,121.32488,23.02011
C1_315080500H_000231,奚卜蘭遊客中心(新太平洋一號店),花蓮縣,花蓮縣977豐濱鄉靜浦村靜浦8-1號,豐濱鄉,121.48854,23.46663
C1_315080500H_000233,月光小棧,臺東縣,臺東縣959東河鄉都蘭村46鄰20號,東河鄉,121.21055,22.88752
C1_315080500H_000234,比西里岸,臺東縣,臺東縣950臺東市白守蓮社區,成功鎮,121.40076,23.12967
C1_315080500H_000235,宜灣卡片教堂,臺東縣,臺東縣961成功鎮博愛里宜灣路11號,成功鎮,121.39645,23.20697
C1_315080500H_000236,金剛大道,臺東縣,臺東縣962長濱鄉長光社區忠勇自行車步道(東13線，長光產業道路),長濱鄉,121.44752,23.3303
C1_315080500H_000237,鹽寮,花蓮縣,花蓮縣974壽豐鄉鹽寮村,壽豐鄉,121.6038,23.90294
